region_key,world_x,world_y,esf_offset
wh3_dlc20_combi_region_dragons_death,691.6060791015625,583.3457336425781,24994784
wh3_dlc20_combi_region_glacial_gardens,115.72591781616211,688.3629150390625,24984776
wh3_dlc20_combi_region_glacier_encampment,52.739023208618164,696.8643188476562,24896169
wh3_dlc20_combi_region_krudenwald,383.67015075683594,552.3406372070312,25171494
wh3_dlc23_combi_region_blasted_expanse,573.1307067871094,488.8302001953125,26063531
wh3_dlc23_combi_region_fort_dorznye_vort,591.1270141601562,534.3376770019531,25987394
wh3_dlc23_combi_region_gash_kadrak,630.1188659667969,463.82611083984375,25136600
wh3_dlc23_combi_region_uzkulak_port,573.630615234375,571.34375,25182704
wh3_main_combi_region_aarnau,306.68617248535156,558.8416748046875,25324453
wh3_main_combi_region_agrul_migdhal,436.1592254638672,255.79196166992188,24769616
wh3_main_combi_region_akendorf,453.15570068359375,416.31829833984375,25128500
wh3_main_combi_region_al_haikk,341.1789855957031,256.29205322265625,25160719
wh3_main_combi_region_altar_of_facades,551.6351928710938,23.25381565093994,25197700
wh3_main_combi_region_altar_of_spawns,434.15965270996094,671.8602294921875,24269369
wh3_main_combi_region_altar_of_the_crimson_harvest,336.1800231933594,604.3491821289062,24923406
wh3_main_combi_region_altar_of_the_horned_rat,163.71593475341797,159.27613067626953,25645616
wh3_main_combi_region_altar_of_ultimate_darkness,29.243913650512695,649.3565673828125,25953674
wh3_main_combi_region_altdorf,352.1767120361328,500.33209228515625,25192688
wh3_main_combi_region_amblepeak,686.1072387695312,421.3191223144531,25304064
wh3_main_combi_region_ancient_city_of_quintex,48.739858627319336,456.82496643066406,24061574
wh3_main_combi_region_angerrial,179.7126007080078,408.3170166015625,26066893
wh3_main_combi_region_antoch,403.6659851074219,168.7776870727539,25724186
wh3_main_combi_region_aquitaine,281.19146728515625,439.32208251953125,24032245
wh3_main_combi_region_argalis,359.1752471923828,321.80279541015625,24501034
wh3_main_combi_region_arnheim,98.22955703735352,453.824462890625,25822718
wh3_main_combi_region_ash_ridge_mountains,575.6302185058594,354.3081512451172,25477635
wh3_main_combi_region_ashrak,90.2312240600586,665.3591918945312,25872014
wh3_main_combi_region_averheim,410.66453552246094,462.32586669921875,25778862
wh3_main_combi_region_avethir,124.72405242919922,421.3191223144531,25125305
wh3_main_combi_region_axlotl,138.2212371826172,178.77933502197266,25484408
wh3_main_combi_region_baleful_hills,795.0845336914062,387.8136291503906,25665130
wh3_main_combi_region_bamboo_crossing,843.0745544433594,332.3045196533203,25696696
wh3_main_combi_region_barag_dawazbag,473.6514129638672,392.814453125,24148550
wh3_main_combi_region_barak_varr,449.1565246582031,394.8147888183594,25283188
wh3_main_combi_region_bay_of_blades,388.6691131591797,627.85302734375,25411193
wh3_main_combi_region_bechafen,452.15589904785156,552.8406982421875,24667625
wh3_main_combi_region_beichai,906.0614624023438,427.3201141357422,24042182
wh3_main_combi_region_bhagar,399.6668243408203,189.78114318847656,25235055
wh3_main_combi_region_bilbali,266.6945037841797,370.81085205078125,25701346
wh3_main_combi_region_bilious_cliffs,406.16546630859375,711.3667297363281,25662004
wh3_main_combi_region_bitter_bay,590.6271057128906,311.8011474609375,25189464
wh3_main_combi_region_bitterstone_mine,440.6582946777344,347.80706787109375,25109454
wh3_main_combi_region_black_crag,503.1452941894531,372.8111572265625,26149034
wh3_main_combi_region_black_creek_spire,179.7126007080078,592.8472900390625,24811341
wh3_main_combi_region_black_fang,652.1142883300781,492.83087158203125,25321024
wh3_main_combi_region_black_fortress,634.617919921875,369.3105926513672,25529742
wh3_main_combi_region_black_iron_mine,532.63916015625,371.31092834472656,24070176
wh3_main_combi_region_black_pyramid_of_nagash,386.6695251464844,218.785888671875,24017548
wh3_main_combi_region_black_rock,389.6689147949219,723.8687744140625,25013952
wh3_main_combi_region_black_tower_of_arkhan,367.17359924316406,226.7872085571289,24520948
wh3_main_combi_region_blacklight_tower,140.22081756591797,611.8503723144531,25564938
wh3_main_combi_region_blackstone_post,305.1864929199219,480.82891845703125,24532528
wh3_main_combi_region_bleak_hold_fortress,59.23767280578613,477.3283233642578,24084935
wh3_main_combi_region_blizzardpeak,678.6087951660156,539.3384704589844,25969655
wh3_main_combi_region_blood_mountain,280.69158935546875,711.8667907714844,24912238
wh3_main_combi_region_bloodpeak,696.6050415039062,463.3260192871094,25432996
wh3_main_combi_region_bloodwind_keep,831.0770568847656,554.8410339355469,25080310
wh3_main_combi_region_bordeleaux,262.6953430175781,447.823486328125,25761330
wh3_main_combi_region_brass_keep,395.66766357421875,568.3432312011719,26047583
wh3_main_combi_region_bridge_of_heaven,822.5787963867188,383.81297302246094,25470238
wh3_main_combi_region_brionne,280.69158935546875,406.3166809082031,24792446
wh3_main_combi_region_broken_mount,824.5783996582031,572.3438720703125,24967138
wh3_main_combi_region_cairn_thel,190.21041870117188,399.3155212402344,24487076
wh3_main_combi_region_carroburg,340.17921447753906,506.3330841064453,25336411
wh3_main_combi_region_castle_alexandronov,409.6647491455078,611.3503112792969,25139815
wh3_main_combi_region_castle_artois,273.6930389404297,492.83087158203125,24776350
wh3_main_combi_region_castle_bastonne,285.6905517578125,464.3262023925781,25299323
wh3_main_combi_region_castle_carcassonne,310.6853485107422,388.31370544433594,24427993
wh3_main_combi_region_castle_drakenhof,478.15049743652344,472.3274841308594,25683146
wh3_main_combi_region_castle_of_splendour,503.6451873779297,37.256113052368164,26023525
wh3_main_combi_region_castle_templehof,458.1546630859375,484.3294677734375,26036599
wh3_main_combi_region_castle_von_rauken,431.66017150878906,579.8451538085938,25901524
wh3_main_combi_region_caverns_of_sotek,449.65643310546875,82.26349639892578,24193019
wh3_main_combi_region_celestial_monastery,824.5783996582031,411.31748962402344,25026874
wh3_main_combi_region_chamber_of_visions,47.240169525146484,210.7845916748047,24958308
wh3_main_combi_region_chaqua,116.22581100463867,210.7845916748047,25537689
wh3_main_combi_region_chill_road,86.73194885253906,642.3554077148438,24991544
wh3_main_combi_region_chimai,877.0674743652344,402.3160095214844,24942508
wh3_main_combi_region_chupayotl,167.71509552001953,126.27071762084961,24784546
wh3_main_combi_region_circle_of_destruction,106.22789001464844,584.3458862304688,26134438
wh3_main_combi_region_citadel_of_dusk,201.70802307128906,68.76127815246582,25253382
wh3_main_combi_region_citadel_of_lead,237.2006378173828,588.8466186523438,25102755
wh3_main_combi_region_city_of_the_shugengan,865.0699768066406,473.8277282714844,24337224
wh3_main_combi_region_clar_karond,78.23371887207031,560.3419189453125,24764599
wh3_main_combi_region_clarak_spire,10.74776315689087,501.3322448730469,24469822
wh3_main_combi_region_cliff_of_beasts,352.1767120361328,719.8681335449219,25650032
wh3_main_combi_region_copher,316.18418884277344,263.293212890625,24308058
wh3_main_combi_region_couronne,273.6930389404297,520.83544921875,25854591
wh3_main_combi_region_crag_halls_of_findol,352.67662048339844,419.8188781738281,25238256
wh3_main_combi_region_cragroth_deep,68.73569297790527,591.3470458984375,25250083
wh3_main_combi_region_crookback_mountain,563.6327209472656,401.3158264160156,25257739
wh3_main_combi_region_crooked_fang_fort,488.1484069824219,321.302734375,26089041
wh3_main_combi_region_crucible_of_delights,515.6427001953125,12.252010345458984,24899695
wh3_main_combi_region_cuexotl,427.6610107421875,130.2713737487793,24600305
wh3_main_combi_region_daemons_gate,309.18565368652344,44.25726127624512,24678968
wh3_main_combi_region_dagraks_end,85.73215866088867,701.3650512695312,26069909
wh3_main_combi_region_dai_cheng,916.0593872070312,294.2982940673828,25463803
wh3_main_combi_region_dargoth,166.21541595458984,662.3587036132812,24088214
wh3_main_combi_region_dark_tower,849.5732116699219,559.341796875,24541960
wh3_main_combi_region_darkhold,600.6250305175781,369.3105926513672,24852175
wh3_main_combi_region_dawns_light,390.16880798339844,43.75717735290527,25884903
wh3_main_combi_region_deaths_head_monoliths,332.1808776855469,154.77539825439453,24842205
wh3_main_combi_region_deff_gorge,479.15028381347656,273.2948455810547,24154964
wh3_main_combi_region_desolation_of_drakenmoor,556.6341552734375,471.827392578125,24634002
wh3_main_combi_region_desolation_of_nagash,547.1361389160156,317.30206298828125,24529159
wh3_main_combi_region_desolation_ridge,799.0836791992188,563.3424377441406,24611748
wh3_main_combi_region_dietershafen,351.1769104003906,587.846435546875,25088286
wh3_main_combi_region_dok_karaz,446.1571502685547,383.3128967285156,24497736
wh3_main_combi_region_doom_glade,540.6375122070312,217.78573608398438,25727460
wh3_main_combi_region_doomkeep,343.1785888671875,644.8557739257812,26123082
wh3_main_combi_region_dotternbach,364.6741180419922,449.8238220214844,25085074
wh3_main_combi_region_drackla_spire,14.247035503387451,602.8489379882812,25165032
wh3_main_combi_region_dragon_fang_mount,648.1151428222656,269.7942657470703,25786860
wh3_main_combi_region_dragon_gate,807.5819396972656,514.3343658447266,25033427
wh3_main_combi_region_dragonhorn_mines,432.1600646972656,327.3037109375,25053697
wh3_main_combi_region_dragons_crossroad,815.5802917480469,527.8366088867188,24078193
wh3_main_combi_region_dread_rock,649.1148986816406,307.8004913330078,24354610
wh3_main_combi_region_dringorackaz,505.14488220214844,320.8026428222656,24935876
wh3_main_combi_region_dusk_peaks,187.7109375,81.26333236694336,25219905
wh3_main_combi_region_eagle_eyries,642.6162719726562,512.8341522216797,25327692
wh3_main_combi_region_eagle_gate,126.2237319946289,441.82249450683594,25142856
wh3_main_combi_region_eilhart,322.1829528808594,492.83087158203125,25010709
wh3_main_combi_region_ekrund,423.6618194580078,342.30616760253906,25552113
wh3_main_combi_region_el_kalabad,355.1761016845703,210.7845916748047,25243637
wh3_main_combi_region_eldar_spire,10.247867107391357,628.8531494140625,24334033
wh3_main_combi_region_elessaeli,211.70594787597656,410.81739807128906,24416807
wh3_main_combi_region_elisia,199.70844268798828,493.8310241699219,24229131
wh3_main_combi_region_erengrad,423.6618194580078,593.8474731445312,24750047
wh3_main_combi_region_eschen,477.1507110595703,489.8303680419922,25154432
wh3_main_combi_region_essen,463.1536102294922,510.8338317871094,24661928
wh3_main_combi_region_evershale,160.21665954589844,458.8252868652344,25444277
wh3_main_combi_region_eye_of_the_panther,321.1831512451172,237.28893280029297,24615011
wh3_main_combi_region_fallen_gates,29.243913650512695,393.3145446777344,24590440
wh3_main_combi_region_fallen_king_mountain,526.6404113769531,483.8293914794922,25653367
