faction_key,character_id,member_id,agent_type,subtype_key,force_id,is_primary,world_x,world_y,logical_x,logical_y,esf_offset
wh2_dlc09_skv_clan_rictus,96,98,general,wh2_dlc09_skv_tretch_craventail,53,1,555.8037719726562,407.2878112792969,832,528,4049940
wh2_dlc09_skv_clan_rictus,97,99,spy,wh2_main_skv_assassin,0,0,554.4677124023438,404.2023010253906,830,524,4050381
wh2_dlc09_skv_clan_rictus,514,523,colonel,wh2_main_skv_warlord,412,0,563.8201293945312,401.1167907714844,844,520,4050825
wh2_dlc09_tmb_exiles_of_nehek,108,110,general,wh2_dlc09_tmb_khatep,59,1,15.364767074584961,511.8096008300781,23,663,4318383
wh2_dlc09_tmb_exiles_of_nehek,109,111,wizard,wh2_dlc09_tmb_liche_priest_light,0,0,14.028700828552246,508.7240905761719,21,659,4318822
wh2_dlc09_tmb_exiles_of_nehek,520,529,colonel,wh2_dlc09_tmb_tomb_king,418,0,10.688533782958984,501.39599609375,16,650,4319237
wh2_dlc09_tmb_followers_of_nagash,110,112,general,wh2_dlc09_tmb_arkhan,60,1,298.61090087890625,233.3419952392578,447,302,4361281
wh2_dlc09_tmb_followers_of_nagash,111,113,champion,wh2_dlc09_tmb_tomb_prince,0,0,296.6068115234375,232.956298828125,444,302,4361703
wh2_dlc09_tmb_followers_of_nagash,521,530,colonel,wh2_dlc09_tmb_tomb_king,419,0,291.9305725097656,207.88650512695312,437,269,4362135
wh2_dlc09_tmb_followers_of_nagash,522,531,colonel,wh2_dlc09_tmb_tomb_king,420,0,280.5740051269531,238.35594177246094,420,309,4362532
wh2_dlc09_tmb_khemri,104,106,general,wh2_dlc09_tmb_settra,57,1,417.5208435058594,224.85682678222656,625,291,4232377
wh2_dlc09_tmb_khemri,105,107,champion,wh2_dlc09_tmb_tomb_prince,0,0,413.5126647949219,227.17095947265625,619,294,4232796
wh2_dlc09_tmb_khemri,518,527,colonel,wh2_dlc09_tmb_tomb_king,416,0,408.83642578125,222.92837524414062,612,289,4233210
wh2_dlc09_tmb_lybaras,106,108,general,wh2_dlc09_tmb_khalida,58,1,535.7627563476562,235.2704315185547,802,305,4276112
