mechanic_id,mechanic_type,technology_key,scope_kind,scope_faction_key,scope_culture_key,script_campaign_key,campaign_scope,operation,trigger,target_type,target_key,threshold,comparison,value,reward_type,human_only,allow_allies,counter_policy,initially_locked,relock_policy,combination_rule,interpretation_status,source_file,source_start_line,source_end_line,source_sha256,evidence_id,behavior_evidence_id
023993175236933dbd276957,khorne_battle_wins,wh3_dlc26_tech_kho_blood_hosts_1,culture,,wh3_main_kho_khorne,,all_supported_campaigns,unlock_technology,BattleCompleted,battle_wins,,15,greater_than_or_equal,1,,false,,one_increment_per_distinct_winning_faction,true,none_from_battle_counter,shared_lock_last_write_wins,decoded_literal_and_control_flow,script/campaign/wh3_campaign_tech_tree.lua,107,107,f0a7080fdfc40d9bef4cdedcd839022c208ef5ccf76698a71ff2ab3929823323,70d6f63943032a80a8795620,5459e4e52eee46a739220bcf
fd9ffbab3f4f12179fc4f7a9,khorne_battle_wins,wh3_dlc26_tech_kho_campaign_4_3,culture,,wh3_main_kho_khorne,,all_supported_campaigns,unlock_technology,BattleCompleted,battle_wins,,10,greater_than_or_equal,1,,false,,one_increment_per_distinct_winning_faction,true,none_from_battle_counter,shared_lock_last_write_wins,decoded_literal_and_control_flow,script/campaign/wh3_campaign_tech_tree.lua,100,100,f0a7080fdfc40d9bef4cdedcd839022c208ef5ccf76698a71ff2ab3929823323,1cb818f45b98f852c88a1ea7,5459e4e52eee46a739220bcf
bf5b51724ae68baec2fc4ab3,khorne_battle_wins,wh3_main_tech_kho_1_2,culture,,wh3_main_kho_khorne,,all_supported_campaigns,unlock_technology,BattleCompleted,battle_wins,,15,greater_than_or_equal,1,,false,,one_increment_per_distinct_winning_faction,true,none_from_battle_counter,shared_lock_last_write_wins,decoded_literal_and_control_flow,script/campaign/wh3_campaign_tech_tree.lua,104,104,f0a7080fdfc40d9bef4cdedcd839022c208ef5ccf76698a71ff2ab3929823323,632796cf8e5ffaceac5bc10d,5459e4e52eee46a739220bcf
6d9c79f07a69672b82efb481,khorne_battle_wins,wh3_main_tech_kho_1_4,culture,,wh3_main_kho_khorne,,all_supported_campaigns,unlock_technology,BattleCompleted,battle_wins,,5,greater_than_or_equal,1,,false,,one_increment_per_distinct_winning_faction,true,none_from_battle_counter,shared_lock_last_write_wins,decoded_literal_and_control_flow,script/campaign/wh3_campaign_tech_tree.lua,91,91,f0a7080fdfc40d9bef4cdedcd839022c208ef5ccf76698a71ff2ab3929823323,63ca0d65bcc91ad204edaceb,5459e4e52eee46a739220bcf
8ab80cf696d2a657cc839ce7,khorne_battle_wins,wh3_main_tech_kho_1_6,culture,,wh3_main_kho_khorne,,all_supported_campaigns,unlock_technology,BattleCompleted,battle_wins,,15,greater_than_or_equal,1,,false,,one_increment_per_distinct_winning_faction,true,none_from_battle_counter,shared_lock_last_write_wins,decoded_literal_and_control_flow,script/campaign/wh3_campaign_tech_tree.lua,108,108,f0a7080fdfc40d9bef4cdedcd839022c208ef5ccf76698a71ff2ab3929823323,2c45e8009d3cfce6f1d9af37,5459e4e52eee46a739220bcf
abafba21642f0332583a6939,khorne_battle_wins,wh3_main_tech_kho_1_8,culture,,wh3_main_kho_khorne,,all_supported_campaigns,unlock_technology,BattleCompleted,battle_wins,,5,greater_than_or_equal,1,,false,,one_increment_per_distinct_winning_faction,true,none_from_battle_counter,shared_lock_last_write_wins,decoded_literal_and_control_flow,script/campaign/wh3_campaign_tech_tree.lua,94,94,f0a7080fdfc40d9bef4cdedcd839022c208ef5ccf76698a71ff2ab3929823323,610c36c03aedbd83ad359f85,5459e4e52eee46a739220bcf
c70765d6292582af32e221a7,khorne_battle_wins,wh3_main_tech_kho_2_2,culture,,wh3_main_kho_khorne,,all_supported_campaigns,unlock_technology,BattleCompleted,battle_wins,,15,greater_than_or_equal,1,,false,,one_increment_per_distinct_winning_faction,true,none_from_battle_counter,shared_lock_last_write_wins,decoded_literal_and_control_flow,script/campaign/wh3_campaign_tech_tree.lua,103,103,f0a7080fdfc40d9bef4cdedcd839022c208ef5ccf76698a71ff2ab3929823323,cf2295364bc02337595aecab,5459e4e52eee46a739220bcf
61719faf69fc0790af92e020,khorne_battle_wins,wh3_main_tech_kho_2_3,culture,,wh3_main_kho_khorne,,all_supported_campaigns,unlock_technology,BattleCompleted,battle_wins,,5,greater_than_or_equal,1,,false,,one_increment_per_distinct_winning_faction,true,none_from_battle_counter,shared_lock_last_write_wins,decoded_literal_and_control_flow,script/campaign/wh3_campaign_tech_tree.lua,93,93,f0a7080fdfc40d9bef4cdedcd839022c208ef5ccf76698a71ff2ab3929823323,ad159cd5871914b6e8950bab,5459e4e52eee46a739220bcf
df55e7478a5d088af450caf6,khorne_battle_wins,wh3_main_tech_kho_2_4,culture,,wh3_main_kho_khorne,,all_supported_campaigns,unlock_technology,BattleCompleted,battle_wins,,10,greater_than_or_equal,1,,false,,one_increment_per_distinct_winning_faction,true,none_from_battle_counter,shared_lock_last_write_wins,decoded_literal_and_control_flow,script/campaign/wh3_campaign_tech_tree.lua,97,97,f0a7080fdfc40d9bef4cdedcd839022c208ef5ccf76698a71ff2ab3929823323,15b3004b2076080d9fd55127,5459e4e52eee46a739220bcf
615949cbefdb5f68f47150b0,khorne_battle_wins,wh3_main_tech_kho_2_8,culture,,wh3_main_kho_khorne,,all_supported_campaigns,unlock_technology,BattleCompleted,battle_wins,,5,greater_than_or_equal,1,,false,,one_increment_per_distinct_winning_faction,true,none_from_battle_counter,shared_lock_last_write_wins,decoded_literal_and_control_flow,script/campaign/wh3_campaign_tech_tree.lua,96,96,f0a7080fdfc40d9bef4cdedcd839022c208ef5ccf76698a71ff2ab3929823323,18a5f292f52586d0e7ef8ad5,5459e4e52eee46a739220bcf
