game,patch,explosion_key,detonator_type,detonation_type,radius,duration,speed,base_damage,ap_damage,force,ignition_amount,is_magical,affects_allies,contact_phase_effect,shrapnel_key,is_spell
warhammer_3,8.1.1,wh2_cst_necrofex_colossus_flame_explosion,percussive,shockwave,7,0,14,80,32,100,1,false,true,wh_main_unit_contact_morale,,false
warhammer_3,8.1.1,wh2_dlc09_casket_of_souls,percussive,shockwave,4,1,12,28,64,250,0,true,true,,,false
warhammer_3,8.1.1,wh2_dlc09_screaming_skull_explosion,percussive,shockwave,5,0,12,30,65,150,0,true,true,wh_main_unit_contact_overhead_morale,,false
warhammer_3,8.1.1,wh2_dlc09_tmb_ushabti_bolt_ror,fuse,shockwave,6,1,10,52,26,100,0,false,true,,ushabti_shrapnel,false
warhammer_3,8.1.1,wh2_dlc10_bone_giant_explosion,percussive,shockwave,6,0,10,102,66,200,0,true,true,,,false
warhammer_3,8.1.1,wh2_dlc11_cst_bomb_deckdroppers_explosion,percussive,shockwave,3,0,13,28,9,200,25,false,true,,,false
warhammer_3,8.1.1,wh2_dlc11_cst_bomb_deckdroppers_ror_explosion,percussive,shockwave,3,0,13,10,26,200,25,false,true,wh_dlc06_unit_contact_sundered_armour,,false
warhammer_3,8.1.1,wh2_dlc11_cst_bomb_explosion,percussive,shockwave,3,0,13,12,3,200,25,false,true,,,false
warhammer_3,8.1.1,wh2_dlc11_cst_queen_bess,percussive,shockwave,12,0,12,15,75,450,10,false,true,wh2_dlc11_unit_contact_monstrous_impact,,false
warhammer_3,8.1.1,wh2_dlc12_lzd_salamander_flame,percussive,shockwave,3,0,11,15,2,100,25,false,true,,,false
warhammer_3,8.1.1,wh2_dlc12_lzd_salamander_flame_blessed,percussive,shockwave,4,0,11,25,2,100,25,false,true,,,false
warhammer_3,8.1.1,wh2_dlc12_lzd_salamander_flame_large,percussive,shockwave,7,0,12,85,34,350,25,false,true,wh2_dlc12_unit_contact_flammable,,false
warhammer_3,8.1.1,wh2_dlc12_lzd_salamander_flame_large_blessed,fuse,shockwave,1,0,12,85,34,350,25,false,true,wh2_dlc12_unit_contact_flammable,giant_salamander_blessed,false
warhammer_3,8.1.1,wh2_dlc12_skv_doomwheel_warp_lightning_ror,percussive,shockwave,4,0,8,0,20,75,0,true,true,,,false
warhammer_3,8.1.1,wh2_dlc14_def_medusa_gaze,percussive,shockwave,3,0.5,50,15,30,60,0,true,true,,,false
warhammer_3,8.1.1,wh2_dlc14_skv_poison_wind_mortar,percussive,shockwave,6,0,20,12,16,260,0,true,true,wh2_dlc14_unit_contact_poisoned_wind,,false
warhammer_3,8.1.1,wh2_dlc14_skv_poison_wind_mortar_alt,percussive,shockwave,6,0,20,12,16,260,0,true,true,wh2_dlc14_unit_contact_poisoned_wind_alt,,false
warhammer_3,8.1.1,wh2_dlc15_grn_arrow_explosion,percussive,shockwave,2,0,13,3,1,200,25,false,true,,,false
warhammer_3,8.1.1,wh2_dlc17_dwf_rune_of_burning_flame_cannon,percussive,shockwave,8,0,12,15,5,180,1,false,true,wh_main_unit_contact_morale,,false
warhammer_3,8.1.1,wh2_dlc17_dwf_rune_of_burning_generic,percussive,shockwave,3,0,10,4,10,100,1,false,true,wh_main_unit_contact_morale,,false
warhammer_3,8.1.1,wh2_dlc17_dwf_rune_of_burning_grudge_thrower,percussive,shockwave,4,0,12,75,70,180,1,false,true,wh_main_unit_contact_morale,,false
warhammer_3,8.1.1,wh2_dlc17_dwf_rune_of_burning_organ_gun,percussive,shockwave,1,0,14,5,6,40,1,false,true,wh_main_unit_contact_morale,,false
warhammer_3,8.1.1,wh2_dlc17_lzd_blowpipe_chameleon_stalkers_explosion,percussive,shockwave,2,0,10,21,7,100,1,false,true,,,false
warhammer_3,8.1.1,wh2_dlc17_lzd_blowpipe_chameleon_stalkers_explosion_blessed,percussive,shockwave,3,0,10,50,20,100,1,false,true,,,false
warhammer_3,8.1.1,wh2_dlc17_lzd_fireblood_explosion,percussive,shockwave,2,0,13,3,1,200,1,false,true,,,false
warhammer_3,8.1.1,wh2_dlc17_lzd_troglodon_spit,percussive,shockwave,5,0.5,5,140,80,10,0,false,true,,,false
warhammer_3,8.1.1,wh2_main_lzd_bastiladon_solar_engine,percussive,shockwave,4,1,10,154,66,200,1,true,true,,,false
warhammer_3,8.1.1,wh2_main_skv_death_globe,percussive,shockwave,4,0,15,9,33,65,0,true,true,,,false
warhammer_3,8.1.1,wh2_main_skv_plagueclaw,percussive,shockwave,5,0,11,35,70,180,0,true,true,wh2_main_unit_contact_plague_monk_censer_morale,,false
warhammer_3,8.1.1,wh2_main_skv_poison_wind_globe,percussive,shockwave,2,0,15,12,16,30,0,true,true,wh2_dlc14_unit_contact_poisoned_wind,,false
warhammer_3,8.1.1,wh2_main_skv_warp_lightning,percussive,shockwave,2,0,12,5,20,70,0,true,true,,,false
warhammer_3,8.1.1,wh2_main_skv_warpfire,percussive,shockwave,3,0,14,20,7,40,1,true,true,,,false
warhammer_3,8.1.1,wh2_main_unit_lzd_terradon_fireleech_bola_explosion,percussive,shockwave,4,0,11,27,11,120,25,false,true,,,false
warhammer_3,8.1.1,wh3_cp1_cth_grand_cannon_shrapnel_shot_shrapnel,fuse,shockwave,4,1,10,9,33,100,0,false,true,,grand_cannon_shrapenel_shot_shrapnel,false
warhammer_3,8.1.1,wh3_cp1_cth_sky_lantern_rifle_explosive,percussive,shockwave,3,0,13,14,10,60,0,false,true,,,false
warhammer_3,8.1.1,wh3_dlc23_chd_cha_pistol_flare,percussive,shockwave,3,0,13,34,15,180,1,false,true,wh2_dlc12_unit_contact_flammable,,false
warhammer_3,8.1.1,wh3_dlc23_chd_deathshrieker_rocket_demolition,percussive,shockwave,3,1,20,30,90,400,0,true,true,,,false
warhammer_3,8.1.1,wh3_dlc23_chd_deathshrieker_rocket_stage_1,fuse,shockwave,5,1,12,35,55,300,1,true,true,,deathshrieker_rocket,false
warhammer_3,8.1.1,wh3_dlc23_chd_dreadquake_mortar_explosion,percussive,shockwave,15,0,60,10,80,1000,0,false,true,wh2_dlc11_unit_contact_monstrous_impact,,false
warhammer_3,8.1.1,wh3_dlc23_chd_infernal_castellan_rifle_explosive,percussive,shockwave,4,0,13,12,5,110,0,false,true,,,false
warhammer_3,8.1.1,wh3_dlc23_chd_iron_daemon_flame_cannon_explosion,percussive,shockwave,3,0,14,30,10,40,1,false,true,,,false
warhammer_3,8.1.1,wh3_dlc23_chd_magma_cannon_explosion,percussive,shockwave,7,0,12,70,30,180,1,false,true,wh_main_unit_contact_morale,,false
warhammer_3,8.1.1,wh3_dlc23_chd_naptha_bomb_explosion_unit,percussive,shockwave,3,0,13,27,11,200,25,false,true,,,false
warhammer_3,8.1.1,wh3_dlc24_ostankya_attack_explosion,percussive,shockwave,4,1,12,28,64,250,0,true,true,,,false
warhammer_3,8.1.1,wh3_dlc24_saytang_projectile_explosion,percussive,shockwave,3,0,10,30,10,200,0,true,true,,,false
warhammer_3,8.1.1,wh3_dlc24_scribes_blue_flame_bombardment,percussive,shockwave,5,1,5,30,20,50,1,true,true,wh3_main_unit_contact_warpflame,,true
warhammer_3,8.1.1,wh3_dlc25_dwf_explosive_cannon_ball,percussive,shockwave,5,0,12,90,30,180,1,false,true,wh_main_unit_contact_morale,,false
warhammer_3,8.1.1,wh3_dlc25_dwf_flamecannon_explosion_shrapnel,fuse,shockwave,5,1,12,15,6,180,1,false,true,wh_main_unit_contact_morale,flame_cannon_shrapnel,false
warhammer_3,8.1.1,wh3_dlc25_dwf_flamecannon_explosion_shrapnel_stage_2,percussive,shockwave,5,0,12,5,2,180,1,false,true,wh_main_unit_contact_morale,,false
warhammer_3,8.1.1,wh3_dlc25_dwf_grudge_thrower_explosion_shrapnel_stage_1,fuse,shockwave,4,0,12,60,100,180,0,false,true,,grudge_thrower_shrapnel,false
warhammer_3,8.1.1,wh3_dlc25_dwf_gyrocopter_brimstone_shot_explosion,percussive,shockwave,3,0,14,10,2,40,1,false,true,,,false
warhammer_3,8.1.1,wh3_dlc25_dwf_gyrocopter_brimstone_trollhammer,percussive,shockwave,2,0,10,10,25,100,0,false,true,,,false
warhammer_3,8.1.1,wh3_dlc25_emp_deathstorm_rocket_explosion,percussive,shockwave,6,0,11,11,25,200,0,true,true,,,false
warhammer_3,8.1.1,wh3_dlc25_emp_exploding_bullets,percussive,shockwave,2,0,13,1,2,50,0,false,true,,,false
warhammer_3,8.1.1,wh3_dlc25_emp_exploding_bullets_character,fuse,shockwave,3,0,12,75,25,200,0,false,true,,,false
warhammer_3,8.1.1,wh3_dlc25_emp_exploding_bullets_morr,percussive,shockwave,2,0,13,1,2,50,0,true,true,,,false
warhammer_3,8.1.1,wh3_dlc25_emp_grenade_explosion_master_engineer,percussive,shockwave,6,0,11,200,60,200,25,false,true,,,false
warhammer_3,8.1.1,wh3_dlc25_emp_grenade_explosion_master_engineer_upgraded,percussive,shockwave,7,0,11,220,70,200,25,false,true,,,false
warhammer_3,8.1.1,wh3_dlc25_emp_grenade_explosion_morr,percussive,shockwave,3,0,13,34,15,360,25,true,true,,,false
warhammer_3,8.1.1,wh3_dlc25_emp_grenade_explosion_morr_upgraded,percussive,shockwave,4,0,13,34,18,360,25,true,true,,,false
warhammer_3,8.1.1,wh3_dlc25_emp_steam_tank_exploding,percussive,shockwave,6,0,12,12,60,450,0,false,true,,,false
warhammer_3,8.1.1,wh3_dlc25_emp_steam_tank_volley_exploding,percussive,shockwave,3,0,13,4,20,200,0,false,true,,,false
warhammer_3,8.1.1,wh3_dlc25_nur_esar_doombolt_bullet,fuse,shockwave,1,1,10,46,100,120,0,false,true,,wh3_dlc25_nur_esar_doombolt_shrapnel,false
warhammer_3,8.1.1,wh3_dlc25_nur_plague_drones_deaths_head_explosion_ror,fuse,shockwave,3,0,13,3,7,15,0,false,true,,wh3_nur_plague_drones_deaths_head_ror_cluster,false
warhammer_3,8.1.1,wh3_dlc25_nur_soulgrinder_bombard_explosion_ror,percussive,shockwave,6,0,12,30,65,180,0,true,true,wh3_dlc25_unit_contact_erosion,,false
warhammer_3,8.1.1,wh3_dlc25_unit_abilities_thunderbarge_bomb,percussive,shockwave,6,0,15,75,35,450,1,false,true,,,false
warhammer_3,8.1.1,wh3_dlc25_unit_abilities_thunderbarge_fire_bomb_stage_1,fuse,shockwave,1,0,15,0,0,450,1,false,true,,wh3_dlc25_unit_abilities_thunderbarge_fire_bomb_shrapnel,false
warhammer_3,8.1.1,wh3_dlc26_grn_arachnarok_flinger_explosion,percussive,shockwave,8,0,12,30,65,180,0,false,true,wh3_dlc26_unit_contact_sticky_webs,,false
warhammer_3,8.1.1,wh3_dlc26_grn_stinkee_arrer,percussive,shockwave,2,0,15,4,2,25,0,false,true,wh_main_unit_contact_poison,,false
warhammer_3,8.1.1,wh3_dlc26_ogr_thundertusk_ice_shard,percussive,shockwave,10,1,30,10,55,400,0,true,true,wh_dlc08_unit_contact_frostbite,,false
warhammer_3,8.1.1,wh3_dlc27_unit_dreadmaw_explosion,percussive,shockwave,6,0,5,25,35,10,0,false,true,,,false
warhammer_3,8.1.1,wh3_main_catacomb_cannonballl_explosion,percussive,shockwave,4,1,10,0,100,150,1,true,true,,,false
