game,patch,unit_scale,unit_key,attack_type,component_role,slot,melee_weapon_key,missile_weapon_key,projectile_key,is_default_projectile,ammunition_pool,ammunition,link_source
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cav_tuskgor_chariot_0,melee,unit,primary,wh2_dlc17_bst_tuskgor_chariot,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cha_doombull_0,melee,unit,primary,wh2_dlc17_bst_doombull,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cha_taurox_the_brass_bull_0,melee,unit,primary,wh2_dlc17_bst_taurox_axes,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cha_wargor_0,melee,unit,primary,wh2_dlc17_bst_wargor_mace,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cha_wargor_1,melee,unit,primary,wh2_dlc17_wargor_razorgor_chariot,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cha_wargor_2,melee,unit,primary,wh2_dlc17_wargor_tuskgor_chariot,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_inf_centigors_ror_1,melee,unit,primary,wh2_dlc17_bst_centigor_spear_ror,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_inf_centigors_ror_1,missile,unit,primary,,wh2_dlc17_bst_centigor_throwing_axe_ror,wh2_dlc17_bst_centigor_throwing_axe_ror,true,primary,14,land_units.primary_missile_weapon
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_mon_ghorgon_0,melee,unit,primary,wh2_dlc17_bst_ghorgon,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_mon_ghorgon_ror_0,melee,unit,primary,wh2_dlc17_bst_ghorgon_ror,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_mon_jabberslythe_0,melee,unit,primary,wh2_dlc17_bst_jabberslythe,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_mon_jabberslythe_ror_0,melee,unit,primary,wh2_dlc17_bst_jabberslythe_ror,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc24_bst_inf_centigors_great_weapons_mtze,melee,unit,primary,wh3_dlc24_tze_centigor_great_axe,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc24_bst_inf_tzaangors,melee,unit,primary,wh3_dlc24_tze_inf_tzaangors,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc24_bst_mon_cockatrice,melee,unit,primary,wh3_dlc21_tze_cockatrice,,,,,,land_units.primary_melee_weapon
