game,patch,unit_scale,unit_key,attack_type,source_key,effect_key
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cha_doombull_0,melee,wh2_dlc17_bst_doombull,wh2_dlc17_unit_contact_dazed
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_inf_centigors_ror_1,melee,wh2_dlc17_bst_centigor_spear_ror,wh_main_unit_contact_poison
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_inf_centigors_ror_1,projectile,wh2_dlc17_bst_centigor_throwing_axe_ror,wh_main_unit_contact_poison
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_mon_jabberslythe_0,melee,wh2_dlc17_bst_jabberslythe,wh_main_unit_contact_poison
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_mon_jabberslythe_ror_0,melee,wh2_dlc17_bst_jabberslythe_ror,wh_dlc06_unit_contact_sundered_armour
warhammer_3,8.1.1,ultra,wh3_dlc24_bst_mon_cockatrice,melee,wh3_dlc21_tze_cockatrice,wh_main_unit_contact_poison
warhammer_3,8.1.1,ultra,wh3_dlc25_bst_inf_pestigors,melee,wh3_dlc25_nur_pestigor_great_axe,wh_main_unit_contact_poison
warhammer_3,8.1.1,ultra,wh3_dlc27_bst_mon_chimera,melee,wh3_dlc27_nor_chimera,wh_main_unit_contact_poison
warhammer_3,8.1.1,ultra,wh3_dlc27_bst_mon_chimera_ror,melee,wh3_dlc27_nor_chimera,wh_main_unit_contact_poison
warhammer_3,8.1.1,ultra,wh3_dlc27_bst_mon_preyton,melee,wh3_dlc27_preyton_claws,wh_main_unit_contact_poison
warhammer_3,8.1.1,ultra,wh3_dlc27_bst_mon_preyton_ror,melee,wh3_dlc27_preyton_ror,wh3_pro12_unit_contact_wounded_prey
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_chaos_warhounds_1,melee,wh_main_chs_warhound_poison,wh_main_unit_contact_poison
warhammer_3,8.1.1,ultra,wh_dlc03_bst_mon_chaos_spawn_0,melee,wh_dlc03_bst_claws_chaos_spawn,wh_main_unit_contact_poison
warhammer_3,8.1.1,ultra,wh_dlc05_bst_cha_morghur_0,melee,wh_dlc05_bst_morghur_claws,wh_main_unit_contact_poison
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_green_knight_0,melee,wh_dlc07_brt_sword_green_knight,wh_dlc08_unit_contact_frostbite
warhammer_3,8.1.1,ultra,wh_dlc07_brt_inf_peasant_bowmen_2,projectile,wh_brt_longbow_arrow_pox,wh_main_unit_contact_poison
