game,patch,unit_scale,base_unit_key,mounted_unit_key,icon_name
warhammer_3,8.1.1,ultra,wh2_dlc09_tmb_cha_liche_priest_death_0,wh2_dlc09_tmb_cha_liche_priest_death_1,ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
warhammer_3,8.1.1,ultra,wh2_dlc09_tmb_cha_liche_priest_light_0,wh2_dlc09_tmb_cha_liche_priest_light_1,ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
warhammer_3,8.1.1,ultra,wh2_dlc09_tmb_cha_liche_priest_nehekhara_0,wh2_dlc09_tmb_cha_liche_priest_nehekhara_1,ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
warhammer_3,8.1.1,ultra,wh2_dlc09_tmb_cha_liche_priest_shadow_0,wh2_dlc09_tmb_cha_liche_priest_shadow_1,ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
warhammer_3,8.1.1,ultra,wh2_dlc09_tmb_cha_necrotect_0,wh2_dlc09_tmb_cha_necrotect_1,ui/campaign ui/mounts/mount_skeleton_chariot.png
warhammer_3,8.1.1,ultra,wh2_dlc09_tmb_cha_tomb_prince_0,wh2_dlc09_tmb_cha_tomb_prince_1,ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
warhammer_3,8.1.1,ultra,wh2_dlc09_tmb_cha_tomb_prince_0,wh2_dlc09_tmb_cha_tomb_prince_2,ui/campaign ui/mounts/mount_skeleton_chariot.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_crone_0,wh2_dlc10_def_cha_crone_1,ui/campaign ui/mounts/mount_dark_steed.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_crone_0,wh2_dlc10_def_cha_crone_4,ui/campaign ui/mounts/mount_cauldron_of_blood.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_crone_0,wh2_dlc10_def_cha_crone_5,ui/campaign ui/mounts/mount_manticore.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_supreme_sorceress_dark_0,wh2_dlc10_def_cha_supreme_sorceress_dark_1,ui/campaign ui/mounts/mount_dark_steed.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_supreme_sorceress_dark_0,wh2_dlc10_def_cha_supreme_sorceress_dark_2,ui/campaign ui/mounts/mount_cold_one.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_supreme_sorceress_dark_0,wh2_dlc10_def_cha_supreme_sorceress_dark_3,ui/campaign ui/mounts/mount_dark_pegasus.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_supreme_sorceress_dark_0,wh2_dlc10_def_cha_supreme_sorceress_dark_4,ui/campaign ui/mounts/mount_manticore.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_supreme_sorceress_dark_0,wh2_dlc10_def_cha_supreme_sorceress_dark_5,ui/campaign ui/mounts/mount_black_dragon.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_supreme_sorceress_fire_0,wh2_dlc10_def_cha_supreme_sorceress_fire_1,ui/campaign ui/mounts/mount_dark_steed.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_supreme_sorceress_fire_0,wh2_dlc10_def_cha_supreme_sorceress_fire_2,ui/campaign ui/mounts/mount_cold_one.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_supreme_sorceress_fire_0,wh2_dlc10_def_cha_supreme_sorceress_fire_3,ui/campaign ui/mounts/mount_dark_pegasus.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_supreme_sorceress_fire_0,wh2_dlc10_def_cha_supreme_sorceress_fire_4,ui/campaign ui/mounts/mount_manticore.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_supreme_sorceress_fire_0,wh2_dlc10_def_cha_supreme_sorceress_fire_5,ui/campaign ui/mounts/mount_black_dragon.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_supreme_sorceress_shadow_0,wh2_dlc10_def_cha_supreme_sorceress_shadow_1,ui/campaign ui/mounts/mount_dark_steed.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_supreme_sorceress_shadow_0,wh2_dlc10_def_cha_supreme_sorceress_shadow_2,ui/campaign ui/mounts/mount_cold_one.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_supreme_sorceress_shadow_0,wh2_dlc10_def_cha_supreme_sorceress_shadow_3,ui/campaign ui/mounts/mount_dark_pegasus.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_supreme_sorceress_shadow_0,wh2_dlc10_def_cha_supreme_sorceress_shadow_4,ui/campaign ui/mounts/mount_manticore.png
warhammer_3,8.1.1,ultra,wh2_dlc10_def_cha_supreme_sorceress_shadow_0,wh2_dlc10_def_cha_supreme_sorceress_shadow_5,ui/campaign ui/mounts/mount_black_dragon.png
warhammer_3,8.1.1,ultra,wh2_dlc10_hef_cha_alarielle_the_radiant_0,wh2_dlc10_hef_cha_alarielle_the_radiant_2,ui/campaign ui/mounts/mount_barded_ithilmar_steed.png
warhammer_3,8.1.1,ultra,wh2_dlc10_hef_cha_alarielle_the_radiant_0,wh2_dlc10_hef_cha_alarielle_the_radiant_3,ui/campaign ui/mounts/mount_great_eagle.png
warhammer_3,8.1.1,ultra,wh2_dlc10_hef_cha_handmaiden_0,wh2_dlc10_hef_cha_handmaiden_2,ui/campaign ui/mounts/mount_barded_ithilmar_steed.png
warhammer_3,8.1.1,ultra,wh2_dlc11_cst_cha_gunnery_wight_0,wh2_dlc11_cst_cha_gunnery_wight_1,ui/campaign ui/mounts/mount_promethean.png
warhammer_3,8.1.1,ultra,wh2_dlc11_cst_cha_vampire_fleet_captain_0,wh2_dlc11_cst_cha_vampire_fleet_captain_1,ui/campaign ui/mounts/mount_promethean.png
warhammer_3,8.1.1,ultra,wh2_dlc11_def_cha_lokhir_fellheart_0,wh2_dlc11_def_cha_lokhir_fellheart_1,ui/campaign ui/mounts/mount_black_dragon.png
warhammer_3,8.1.1,ultra,wh2_dlc14_def_cha_high_beastmaster_0,wh2_dlc14_def_cha_high_beastmaster_1,ui/campaign ui/mounts/mount_scourgerunner_chariot.png
warhammer_3,8.1.1,ultra,wh2_dlc14_def_cha_high_beastmaster_0,wh2_dlc14_def_cha_high_beastmaster_2,ui/campaign ui/mounts/mount_manticore.png
warhammer_3,8.1.1,ultra,wh2_dlc14_def_cha_malus_darkblade_0,wh2_dlc14_def_cha_malus_darkblade_1,ui/campaign ui/mounts/mount_cold_one.png
warhammer_3,8.1.1,ultra,wh2_dlc14_def_cha_master_0,wh2_dlc14_def_cha_master_1,ui/campaign ui/mounts/mount_dark_steed.png
warhammer_3,8.1.1,ultra,wh2_dlc14_def_cha_master_0,wh2_dlc14_def_cha_master_2,ui/campaign ui/mounts/mount_cold_one.png
warhammer_3,8.1.1,ultra,wh2_dlc14_def_cha_master_0,wh2_dlc14_def_cha_master_3,ui/campaign ui/mounts/mount_dark_pegasus.png
warhammer_3,8.1.1,ultra,wh2_dlc14_def_cha_master_0,wh2_dlc14_def_cha_master_4,ui/campaign ui/mounts/mount_cold_one_chariot.png
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cha_wargor_0,wh2_dlc17_bst_cha_wargor_1,ui/campaign ui/mounts/mount_razorgor_chariot.png
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cha_wargor_0,wh2_dlc17_bst_cha_wargor_2,ui/campaign ui/mounts/mount_tuskgor_chariot.png
warhammer_3,8.1.1,ultra,wh2_main_def_cha_death_hag_0,wh2_main_def_cha_death_hag_1,ui/campaign ui/mounts/mount_cauldron_of_blood.png
warhammer_3,8.1.1,ultra,wh2_main_def_cha_dreadlord_0,wh2_main_def_cha_dreadlord_1,ui/campaign ui/mounts/mount_dark_steed.png
warhammer_3,8.1.1,ultra,wh2_main_def_cha_dreadlord_0,wh2_main_def_cha_dreadlord_2,ui/campaign ui/mounts/mount_cold_one.png
warhammer_3,8.1.1,ultra,wh2_main_def_cha_dreadlord_0,wh2_main_def_cha_dreadlord_4,ui/campaign ui/mounts/mount_black_dragon.png
warhammer_3,8.1.1,ultra,wh2_main_def_cha_dreadlord_0,wh2_main_def_cha_dreadlord_5,ui/campaign ui/mounts/mount_dark_pegasus.png
warhammer_3,8.1.1,ultra,wh2_main_def_cha_malekith_0,wh2_main_def_cha_malekith_1,ui/campaign ui/mounts/mount_cold_one.png
warhammer_3,8.1.1,ultra,wh2_main_def_cha_malekith_0,wh2_main_def_cha_malekith_2,ui/campaign ui/mounts/mount_cold_one_chariot.png
warhammer_3,8.1.1,ultra,wh2_main_def_cha_malekith_0,wh2_main_def_cha_malekith_3,ui/campaign ui/mounts/mount_black_dragon.png
