schema_version,dataset,column_position,column_name
2,normalized/<faction>__wh3__8.1.1__ultra.csv,1,game
2,normalized/<faction>__wh3__8.1.1__ultra.csv,2,patch
2,normalized/<faction>__wh3__8.1.1__ultra.csv,3,steam_build_id
2,normalized/<faction>__wh3__8.1.1__ultra.csv,4,unit_scale
2,normalized/<faction>__wh3__8.1.1__ultra.csv,5,faction_name
2,normalized/<faction>__wh3__8.1.1__ultra.csv,6,faction_key
2,normalized/<faction>__wh3__8.1.1__ultra.csv,7,subculture_key
2,normalized/<faction>__wh3__8.1.1__ultra.csv,8,military_group
2,normalized/<faction>__wh3__8.1.1__ultra.csv,9,roster_scope
2,normalized/<faction>__wh3__8.1.1__ultra.csv,10,is_faction_exclusive
2,normalized/<faction>__wh3__8.1.1__ultra.csv,11,military_group_count
2,normalized/<faction>__wh3__8.1.1__ultra.csv,12,permitted_faction_count
2,normalized/<faction>__wh3__8.1.1__ultra.csv,13,availability_notes
2,normalized/<faction>__wh3__8.1.1__ultra.csv,14,unit_key
2,normalized/<faction>__wh3__8.1.1__ultra.csv,15,unit_name
2,normalized/<faction>__wh3__8.1.1__ultra.csv,16,category
2,normalized/<faction>__wh3__8.1.1__ultra.csv,17,unit_class
2,normalized/<faction>__wh3__8.1.1__ultra.csv,18,caste
2,normalized/<faction>__wh3__8.1.1__ultra.csv,19,tier
2,normalized/<faction>__wh3__8.1.1__ultra.csv,20,weight
2,normalized/<faction>__wh3__8.1.1__ultra.csv,21,in_encyclopedia
2,normalized/<faction>__wh3__8.1.1__ultra.csv,22,is_renown
2,normalized/<faction>__wh3__8.1.1__ultra.csv,23,entity_count
2,normalized/<faction>__wh3__8.1.1__ultra.csv,24,model_count
2,normalized/<faction>__wh3__8.1.1__ultra.csv,25,source_total_component_count
2,normalized/<faction>__wh3__8.1.1__ultra.csv,26,hp_per_entity
2,normalized/<faction>__wh3__8.1.1__ultra.csv,27,total_hp
2,normalized/<faction>__wh3__8.1.1__ultra.csv,28,barrier_health
