schema_version,dataset,column_position,column_name
3,normalized/<faction>__wh3__8.1.1__ultra.csv,1,game
3,normalized/<faction>__wh3__8.1.1__ultra.csv,2,patch
3,normalized/<faction>__wh3__8.1.1__ultra.csv,3,steam_build_id
3,normalized/<faction>__wh3__8.1.1__ultra.csv,4,unit_scale
3,normalized/<faction>__wh3__8.1.1__ultra.csv,5,faction_name
3,normalized/<faction>__wh3__8.1.1__ultra.csv,6,faction_key
3,normalized/<faction>__wh3__8.1.1__ultra.csv,7,subculture_key
3,normalized/<faction>__wh3__8.1.1__ultra.csv,8,military_group
3,normalized/<faction>__wh3__8.1.1__ultra.csv,9,roster_scope
3,normalized/<faction>__wh3__8.1.1__ultra.csv,10,is_faction_exclusive
3,normalized/<faction>__wh3__8.1.1__ultra.csv,11,military_group_count
3,normalized/<faction>__wh3__8.1.1__ultra.csv,12,permitted_faction_count
3,normalized/<faction>__wh3__8.1.1__ultra.csv,13,availability_notes
3,normalized/<faction>__wh3__8.1.1__ultra.csv,14,unit_key
3,normalized/<faction>__wh3__8.1.1__ultra.csv,15,unit_name
3,normalized/<faction>__wh3__8.1.1__ultra.csv,16,tactical_category
3,normalized/<faction>__wh3__8.1.1__ultra.csv,17,source_unit_class
3,normalized/<faction>__wh3__8.1.1__ultra.csv,18,source_caste
3,normalized/<faction>__wh3__8.1.1__ultra.csv,19,tier
3,normalized/<faction>__wh3__8.1.1__ultra.csv,20,weight
3,normalized/<faction>__wh3__8.1.1__ultra.csv,21,in_encyclopedia
3,normalized/<faction>__wh3__8.1.1__ultra.csv,22,is_renown
3,normalized/<faction>__wh3__8.1.1__ultra.csv,23,entity_count
3,normalized/<faction>__wh3__8.1.1__ultra.csv,24,model_count
3,normalized/<faction>__wh3__8.1.1__ultra.csv,25,source_total_component_count
3,normalized/<faction>__wh3__8.1.1__ultra.csv,26,hp_per_entity
3,normalized/<faction>__wh3__8.1.1__ultra.csv,27,total_hp
3,normalized/<faction>__wh3__8.1.1__ultra.csv,28,barrier_health
3,normalized/<faction>__wh3__8.1.1__ultra.csv,29,primary_component_role
3,normalized/<faction>__wh3__8.1.1__ultra.csv,30,primary_target_size
3,normalized/<faction>__wh3__8.1.1__ultra.csv,31,is_large
3,normalized/<faction>__wh3__8.1.1__ultra.csv,32,is_single_entity
3,normalized/<faction>__wh3__8.1.1__ultra.csv,33,armour
3,normalized/<faction>__wh3__8.1.1__ultra.csv,34,shield_block_chance
3,normalized/<faction>__wh3__8.1.1__ultra.csv,35,melee_defence
3,normalized/<faction>__wh3__8.1.1__ultra.csv,36,leadership
3,normalized/<faction>__wh3__8.1.1__ultra.csv,37,physical_resistance
3,normalized/<faction>__wh3__8.1.1__ultra.csv,38,missile_resistance
3,normalized/<faction>__wh3__8.1.1__ultra.csv,39,spell_resistance
3,normalized/<faction>__wh3__8.1.1__ultra.csv,40,ward_save
3,normalized/<faction>__wh3__8.1.1__ultra.csv,41,fire_resistance
3,normalized/<faction>__wh3__8.1.1__ultra.csv,42,melee_attack
3,normalized/<faction>__wh3__8.1.1__ultra.csv,43,weapon_base_damage
3,normalized/<faction>__wh3__8.1.1__ultra.csv,44,weapon_ap_damage
3,normalized/<faction>__wh3__8.1.1__ultra.csv,45,charge_bonus
