game,patch,steam_build_id,race,race_slug,character_name,character_slug,character_class,agent_subtype_key,is_legendary_lord,is_unique_agent,relative_path,node_set_count,node_count,skill_count,skill_level_row_count,effect_row_count,prerequisite_row_count,skill_lock_row_count,ancillary_lock_row_count,ancillary_grant_row_count,dilemma_grant_row_count,total_row_count,tree_structure_sha256,file_sha256,file_bytes
warhammer_3,8.1.1,24237342,Beastmen,beastmen,Beastlord,Beastlord,lord,wh_dlc03_bst_beastlord,false,false,characters/beastmen/Beastlord.csv,1,66,66,13,309,54,2,0,2,0,448,8c61004d6161dace988ee247bbfaf5d6b21ca689795dfe31c1b2554084e0dd8b,dc99278e83f424d9358d86be25257dbf4fe2f3c9836e6f53b38934da9a732dd2,686015
warhammer_3,8.1.1,24237342,Beastmen,beastmen,Bray-Shaman (Beasts),Bray_Shaman_Beasts,hero,wh_dlc03_bst_bray_shaman_beasts,false,false,characters/beastmen/Bray_Shaman_Beasts.csv,1,41,41,19,233,16,0,0,2,0,313,8d55f99dea3f96244f80e5baf147f66fbe6b955fcf0e405e101430e6b67dfc7e,e7300ae48592961474d613ba8f7b45edd3628990bf71d38cc74537a4814a5241,412604
warhammer_3,8.1.1,24237342,Beastmen,beastmen,Bray-Shaman (Death),Bray_Shaman_Death,hero,wh_dlc03_bst_bray_shaman_death,false,false,characters/beastmen/Bray_Shaman_Death.csv,1,41,41,19,234,16,0,0,2,0,314,dd76653cc57730ebf83534df45c58185ef45031f169df4546921670d506d3b1d,18b4ced96018713959db5401b9d57841b988303dba11e00b4b44ee390b694575,402601
warhammer_3,8.1.1,24237342,Beastmen,beastmen,Bray-Shaman (Shadows),Bray_Shaman_Shadows,hero,wh_dlc03_bst_bray_shaman_shadows,false,false,characters/beastmen/Bray_Shaman_Shadows.csv,1,41,41,19,238,16,0,0,2,0,318,f4bd24564afbe9c6fc2921cfe4330d9962d9f2f7be6da1731f7002c194b3fb03,09e979480ffa05de3e2174ccbfd0b402a65121bd4b7b94258cc36ee844e4282d,422663
warhammer_3,8.1.1,24237342,Beastmen,beastmen,Bray-Shaman (Wild),Bray_Shaman_Wild,hero,wh_dlc03_bst_bray_shaman_wild,false,false,characters/beastmen/Bray_Shaman_Wild.csv,1,41,41,19,233,16,0,0,2,0,313,f3b7ec9e69b99b98fca0126f016887c750c6f06d8dcde2a88902c6036580cfa5,d0fccf3a66be8aec2ac61cf51676ebb34127ebc5b022dd6e0a3a23f73ff5c4a0,407243
warhammer_3,8.1.1,24237342,Beastmen,beastmen,Gorebull,Gorebull,hero,wh_dlc03_bst_gorebull,false,false,characters/beastmen/Gorebull.csv,1,45,45,23,227,16,12,0,0,0,325,fa50b64636ace397674f5796d0d4704bf6bb7faa55e28b41c34a7567b8ba91a5,8cdd67565e3b14416b84147124ee16422948925e0c36c1485b4fa20873538ba8,388385
warhammer_3,8.1.1,24237342,Beastmen,beastmen,Khazrak One-Eye,Khazrak_One_Eye,legendary_lord,wh_dlc03_bst_khazrak,true,false,characters/beastmen/Khazrak_One_Eye.csv,1,55,55,13,271,62,2,0,2,0,407,bafe3cd13b8b3e97ae83cd2d2d9406b5db4175df979249408f2a780c8509416f,16054f05e6494a9b3f79f2415a507eb4832c33737cf5a9abceb01787f3784006,391444
warhammer_3,8.1.1,24237342,Beastmen,beastmen,Malagor the Dark Omen,Malagor_the_Dark_Omen,legendary_lord,wh_dlc03_bst_malagor,true,false,characters/beastmen/Malagor_the_Dark_Omen.csv,1,55,55,10,293,64,2,0,0,0,426,9ac9116a5806321e1b1eac4f9aa8b6ac45173637db3a5fd9f620c24f2d81b7fd,feb6b30fdf91a90ddf697345b7811128604b73b8d8b8a2a3cb4cdd41b4639e2e,430619
warhammer_3,8.1.1,24237342,Beastmen,beastmen,Morghur the Shadowgave,Morghur_the_Shadowgave,legendary_lord,wh_dlc05_bst_morghur,true,false,characters/beastmen/Morghur_the_Shadowgave.csv,1,53,53,11,267,62,2,0,3,0,400,9abf6d386b8f42f2a1fdbc4f2c55e6c9ceeae3899dafb2f250f2a673e0abed6b,957ecd4b0a356c44776805c469cb0cd8ee5c338dfcc362af0f2d5efd93d2c492,402947
warhammer_3,8.1.1,24237342,Beastmen,beastmen,Doombull,Doombull,lord,wh2_dlc17_bst_doombull,false,false,characters/beastmen/Doombull.csv,1,65,65,13,308,54,2,0,0,0,444,72c78e1cebd03a66c5519b64c83e8d6154a42bcc81303c367eec5276a61e01b3,7de493a4fa3fbf994577cae644af8b2ed77cd1bd42f92b02c9ed823edc375d18,664863
