dataset,column_position,column_name,data_type,required,description
characters/<race>/<character>.csv,1,record_type,text,true,"Row discriminator: character, node_set, node, skill_level, effect, prerequisite, skill_lock, ancillary_lock, ancillary_grant, or dilemma_grant."
characters/<race>/<character>.csv,2,game,text,true,game
characters/<race>/<character>.csv,3,patch,text,true,patch
characters/<race>/<character>.csv,4,steam_build_id,text,true,steam build id
characters/<race>/<character>.csv,5,race,text,true,race
characters/<race>/<character>.csv,6,race_slug,text,true,race slug
characters/<race>/<character>.csv,7,subculture_key,text,true,subculture key
characters/<race>/<character>.csv,8,character_name,text,true,character name
characters/<race>/<character>.csv,9,character_slug,text,true,character slug
characters/<race>/<character>.csv,10,character_class,text,true,"legendary_lord, lord, or hero."
characters/<race>/<character>.csv,11,agent_subtype_key,text,true,Stable game database key identifying the character subtype and this file.
characters/<race>/<character>.csv,12,primary_agent_type,text,false,primary agent type
characters/<race>/<character>.csv,13,permitted_agent_types,text,false,Pipe-delimited source agent roles permitted for this subtype.
characters/<race>/<character>.csv,14,permitted_faction_keys,text,false,Pipe-delimited relevant faction keys that permit this subtype.
characters/<race>/<character>.csv,15,is_legendary_lord,boolean,false,is legendary lord
characters/<race>/<character>.csv,16,is_unique_agent,boolean,false,is unique agent
characters/<race>/<character>.csv,17,is_recruitable,boolean,false,is recruitable
characters/<race>/<character>.csv,18,show_in_ui,boolean,false,show in ui
characters/<race>/<character>.csv,19,auto_generate,boolean,false,auto generate
characters/<race>/<character>.csv,20,is_caster,boolean,false,is caster
characters/<race>/<character>.csv,21,magic_lore,text,false,magic lore
characters/<race>/<character>.csv,22,recruitment_category,text,false,recruitment category
characters/<race>/<character>.csv,23,node_set_key,text,false,Applicable character_skill_node_sets key; one subtype file may contain several conditional sets.
characters/<race>/<character>.csv,24,node_set_name,text,false,node set name
characters/<race>/<character>.csv,25,node_set_index,number,false,Deterministic one-based index of the node-set variant inside this character file.
characters/<race>/<character>.csv,26,node_set_agent_key,text,false,node set agent key
characters/<race>/<character>.csv,27,node_set_for_army,boolean,false,node set for army
characters/<race>/<character>.csv,28,node_set_for_navy,boolean,false,node set for navy
characters/<race>/<character>.csv,29,node_set_faction_key,text,false,node set faction key
characters/<race>/<character>.csv,30,node_set_campaign_key,text,false,node set campaign key
characters/<race>/<character>.csv,31,node_set_subculture_key,text,false,node set subculture key
characters/<race>/<character>.csv,32,node_key,text,false,Stable character_skill_nodes key.
characters/<race>/<character>.csv,33,skill_key,text,false,Stable character_skills key granted by the node.
characters/<race>/<character>.csv,34,skill_name,text,false,skill name
characters/<race>/<character>.csv,35,skill_description,text,false,skill description
characters/<race>/<character>.csv,36,skill_icon_path,text,false,skill icon path
characters/<race>/<character>.csv,37,node_tier,number,false,Horizontal skill-tree tier/column from the source table.
characters/<race>/<character>.csv,38,node_indent,number,false,Vertical indentation/row from the source table.
characters/<race>/<character>.csv,39,points_on_creation,number,false,points on creation
characters/<race>/<character>.csv,40,required_num_parents,number,false,Number of linked parent nodes required before this node can unlock.
characters/<race>/<character>.csv,41,visible_in_ui,boolean,false,visible in ui
characters/<race>/<character>.csv,42,skill_unlocked_at_rank,number,false,skill unlocked at rank
