game,patch,steam_build_id,race,race_slug,faction_name,faction_key,culture_key,subculture_key,building_rows,unique_building_rows,relative_path,file_sha256,file_bytes
warhammer_3,8.1.1,24237342,Skaven,skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,261,127,factions/skaven/wh2_dlc09_skv_clan_rictus.csv,0474d791830c41d033c682771d19a253bc1d6fb3958d0db65b4e214a8220a266,69858
warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,Exiles of Nehek,wh2_dlc09_tmb_exiles_of_nehek,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,181,107,factions/tomb_kings/wh2_dlc09_tmb_exiles_of_nehek.csv,76a2eef5a00037ef8830ff063397c5d4cdc0161dce17d5065f16205c4e0aba06,53322
warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,Followers of Nagash,wh2_dlc09_tmb_followers_of_nagash,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,185,109,factions/tomb_kings/wh2_dlc09_tmb_followers_of_nagash.csv,3fd116d79f449a0ca76dadc597d6d819af385c391452b451eb8c959c7b05d03c,55970
warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,Khemri,wh2_dlc09_tmb_khemri,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,181,107,factions/tomb_kings/wh2_dlc09_tmb_khemri.csv,e74c51c9ab109470c76d6a5f5025a8c861783f745f4a93c1fe0c12c2cb061372,50064
warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,Court of Lybaras,wh2_dlc09_tmb_lybaras,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,181,107,factions/tomb_kings/wh2_dlc09_tmb_lybaras.csv,3bdf235c9b750729c40a6949596f9ee4571be2b50ceb4854d799a7759f72297a,52055
warhammer_3,8.1.1,24237342,Vampire Coast,vampire_coast,The Dreadfleet,wh2_dlc11_cst_noctilus,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,215,98,factions/vampire_coast/wh2_dlc11_cst_noctilus.csv,38841dc98c31ed920e494c4bffe04e1a9d7427d4bf5b79eb24ba52c79c80fdc0,65256
warhammer_3,8.1.1,24237342,Vampire Coast,vampire_coast,Pirates of Sartosa,wh2_dlc11_cst_pirates_of_sartosa,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,215,98,factions/vampire_coast/wh2_dlc11_cst_pirates_of_sartosa.csv,74460b8eab701de7d1080fa55df43b53327c0888a88f1d7eedd74c5e8df60ac2,68266
warhammer_3,8.1.1,24237342,Vampire Coast,vampire_coast,The Drowned,wh2_dlc11_cst_the_drowned,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,216,99,factions/vampire_coast/wh2_dlc11_cst_the_drowned.csv,73cbe290dccbe414d16697cc585452c5d4ff3b17c11551374083d42932a239f5,65555
warhammer_3,8.1.1,24237342,Vampire Coast,vampire_coast,The Awakened,wh2_dlc11_cst_vampire_coast,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,217,100,factions/vampire_coast/wh2_dlc11_cst_vampire_coast.csv,b19aa4f3f43c5b4c957e8888b4ec52e1b0117d596bcad6020b731d80e855eb06,66453
warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,The Blessed Dread,wh2_dlc11_def_the_blessed_dread,wh2_main_def_dark_elves,wh2_main_sc_def_dark_elves,296,131,factions/dark_elves/wh2_dlc11_def_the_blessed_dread.csv,f0d80a1fea080e86f085d1713c713a011eab7b8e00f4a16bdedf51cb28577473,87105
warhammer_3,8.1.1,24237342,Vampire Counts,vampire_counts,The Barrow Legion,wh2_dlc11_vmp_the_barrow_legion,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,213,113,factions/vampire_counts/wh2_dlc11_vmp_the_barrow_legion.csv,a1994194fdc35a23f3a99bd23882e574021b6a011264fbe482c0f6ae06498925,66569
warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,Cult of Sotek,wh2_dlc12_lzd_cult_of_sotek,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,281,115,factions/lizardmen/wh2_dlc12_lzd_cult_of_sotek.csv,e7b08981292574f3f846e9566f96c7359c45228fb35be7a01cd084a53bda9865,79280
warhammer_3,8.1.1,24237342,Empire,empire,The Golden Order,wh2_dlc13_emp_golden_order,wh_main_emp_empire,wh_main_sc_emp_empire,249,145,factions/empire/wh2_dlc13_emp_golden_order.csv,dab3376405761474f5bbdf80232dc0d4bb65cafd2cda809920fcdd66fff10292,67337
warhammer_3,8.1.1,24237342,Empire,empire,The Huntsmarshal's Expedition,wh2_dlc13_emp_the_huntmarshals_expedition,wh_main_emp_empire,wh_main_sc_emp_empire,247,143,factions/empire/wh2_dlc13_emp_the_huntmarshals_expedition.csv,079bc1ac460f5f4db80d0b57d772cd327de524fca00c1b9d316820504416ca78,73732
warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,Spirit of the Jungle,wh2_dlc13_lzd_spirits_of_the_jungle,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,280,114,factions/lizardmen/wh2_dlc13_lzd_spirits_of_the_jungle.csv,f5f3106d58d1a9d7eb4a7b85e568823940a08fd1fa90cb0fc7fdf190f7536575,83196
warhammer_3,8.1.1,24237342,Bretonnia,bretonnia,Chevaliers de Lyonesse,wh2_dlc14_brt_chevaliers_de_lyonesse,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,238,128,factions/bretonnia/wh2_dlc14_brt_chevaliers_de_lyonesse.csv,fa14b74cfc638a08fc7e3b93bf9e5ff49e611dc23f82848d6a3568050990bdac,71458
warhammer_3,8.1.1,24237342,Greenskins,greenskins,Bonerattlaz,wh2_dlc15_grn_bonerattlaz,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,198,127,factions/greenskins/wh2_dlc15_grn_bonerattlaz.csv,3038e0984783c90367899383ecd242b4f8c167100a7248ea27de45b81c0ffe3e,56243
warhammer_3,8.1.1,24237342,Greenskins,greenskins,Broken Axe,wh2_dlc15_grn_broken_axe,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,198,127,factions/greenskins/wh2_dlc15_grn_broken_axe.csv,05c1ae11e7d7f4c1a8acdc282124df11c283cd4a0f825f00064e375d7af9004d,55839
warhammer_3,8.1.1,24237342,High Elves,high_elves,Knights of Caledor,wh2_dlc15_hef_imrik,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,309,149,factions/high_elves/wh2_dlc15_hef_imrik.csv,9c868ccdc6071c4db530e2f1a162dd0e2e59a4a89237b5facb9d087cf33cd9c4,87918
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,Wargrove of Woe,wh2_dlc16_wef_drycha,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,192,113,factions/wood_elves/wh2_dlc16_wef_drycha.csv,b77307225fb3d2f8dcb535c5d3faaf1ee960d14b7f07351de375a7fccd87951e,54616
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,Heralds of Ariel,wh2_dlc16_wef_sisters_of_twilight,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,197,113,factions/wood_elves/wh2_dlc16_wef_sisters_of_twilight.csv,c7ed114cf85c8b5694079c3783b712604c06479c4749ae27df9ef58440a58194,58621
warhammer_3,8.1.1,24237342,Beastmen,beastmen,Harbinger of Disaster,wh2_dlc17_bst_malagor,wh_dlc03_bst_beastmen,wh_dlc03_sc_bst_beastmen,139,103,factions/beastmen/wh2_dlc17_bst_malagor.csv,3bd8dc543ff36c41c29a6c5c25eb3eabb38c2bbca3d97ee6ae165b636b9e0fd0,40651
warhammer_3,8.1.1,24237342,Beastmen,beastmen,Slaughterhorn Tribe,wh2_dlc17_bst_taurox,wh_dlc03_bst_beastmen,wh_dlc03_sc_bst_beastmen,139,103,factions/beastmen/wh2_dlc17_bst_taurox.csv,5e0427b26c9c2fce70a2c81414d9bb0bd6357e51ba193aa509d3baae06354ec6,40234
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,Ironbrow's Expedition,wh2_dlc17_dwf_thorek_ironbrow,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,332,129,factions/dwarfs/wh2_dlc17_dwf_thorek_ironbrow.csv,41fcb74f1815a4b811d5c05eaa4b261bc406c5b3de20caed0295a793c3e13627,93186
warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,Ghosts of Pahuax,wh2_dlc17_lzd_oxyotl,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,298,114,factions/lizardmen/wh2_dlc17_lzd_oxyotl.csv,bd253ce75660a30c4a4c2c522dfa12e6dcbdae7eb174e5b31a38e5487723ef05,82859
warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,Cult of Pleasure,wh2_main_def_cult_of_pleasure,wh2_main_def_dark_elves,wh2_main_sc_def_dark_elves,272,131,factions/dark_elves/wh2_main_def_cult_of_pleasure.csv,6c5015ecdbff528c05f836947ca3d8fe2681434ea3b5c5ec52465fe9419bba3d,79344
warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,Hag Graef,wh2_main_def_hag_graef,wh2_main_def_dark_elves,wh2_main_sc_def_dark_elves,271,131,factions/dark_elves/wh2_main_def_hag_graef.csv,849abc5086c14d9765749b5c3b657075a9311aaa5c38cfe0fd43ea20d92a1d92,75175
warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,Har Ganeth,wh2_main_def_har_ganeth,wh2_main_def_dark_elves,wh2_main_sc_def_dark_elves,271,131,factions/dark_elves/wh2_main_def_har_ganeth.csv,07672cffd118a00b45917e3cf8e4a1b1c49af21c640eead6373304cbe9730858,75717
warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,Naggarond,wh2_main_def_naggarond,wh2_main_def_dark_elves,wh2_main_sc_def_dark_elves,271,131,factions/dark_elves/wh2_main_def_naggarond.csv,4524753bda18f63fcc1ffb2bb03714949c68aff3a725c582fa1ceb7faca935cc,75175
warhammer_3,8.1.1,24237342,High Elves,high_elves,Avelorn,wh2_main_hef_avelorn,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,312,152,factions/high_elves/wh2_main_hef_avelorn.csv,5ebed2000d24dd3a2a992a74418b4742a0e76de88b27848ad165df85f0baefda,85757
warhammer_3,8.1.1,24237342,High Elves,high_elves,Eataine,wh2_main_hef_eataine,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,309,149,factions/high_elves/wh2_main_hef_eataine.csv,1b0c2ed36584680883c96a6c92d2a3224bae54f57a52002c41781f40779bff21,84828
warhammer_3,8.1.1,24237342,High Elves,high_elves,Nagarythe,wh2_main_hef_nagarythe,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,310,149,factions/high_elves/wh2_main_hef_nagarythe.csv,77994eb66db8cf2142c2d514d97bd48a77dfe81003a4c9d720d93651a5d7683c,86313
