faction_key,variant_key,node_key,record_type,field,localisation_key
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_1_0,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_1_0
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_3_0,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_3_0
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_1_1,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_1_1
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_1_2,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_1_2
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_2_0,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_2_0
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_3_2,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_3_2
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_3_1,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_3_1
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_3_3,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_3_3
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_1_5,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_1_5
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_1_4,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_1_4
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_1_3,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_1_3
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_2_1,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_2_1
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_3_5,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_3_5
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_3_4,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_3_4
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_3_6,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_3_6
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_1_8,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_1_8
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_1_6,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_1_6
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_2_3,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_2_3
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_2_2,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_2_2
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_2_4,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_2_4
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_5_0,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_5_0
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_3_7,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_3_7
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_4_0,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_4_0
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_1_7,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_1_7
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_2_5,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_2_5
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_5_1,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_5_1
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_4_1,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_4_1
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_4_4,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_4_4
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_5_4,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_5_4
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_5_3,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_5_3
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_5_2,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_5_2
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_4_2,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_4_2
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_4_5,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_4_5
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_6_0,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_6_0
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_6_1,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_6_1
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_8_0,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_8_0
wh2_dlc09_skv_clan_rictus,skv_mil@unspecified_campaign,wh2_main_tech_skv_8_1,technology,technology_long_description,technologies_long_description_wh2_main_tech_skv_8_1
