dataset,column_position,column_name,data_type,required,description
factions/<race_slug>/<faction_key>.csv,1,record_type,text,true,Typed record discriminator; junctions are individual rows.
factions/<race_slug>/<faction_key>.csv,2,game,text,true,game
factions/<race_slug>/<faction_key>.csv,3,patch,text,true,patch
factions/<race_slug>/<faction_key>.csv,4,steam_build_id,text,true,steam build id
factions/<race_slug>/<faction_key>.csv,5,race,text,true,race
factions/<race_slug>/<faction_key>.csv,6,race_slug,text,true,race slug
factions/<race_slug>/<faction_key>.csv,7,faction_key,text,true,faction key
factions/<race_slug>/<faction_key>.csv,8,faction_name,text,false,faction name
factions/<race_slug>/<faction_key>.csv,9,culture_key,text,true,culture key
factions/<race_slug>/<faction_key>.csv,10,subculture_key,text,true,subculture key
factions/<race_slug>/<faction_key>.csv,11,feature_forest_key,text,false,feature forest key
factions/<race_slug>/<faction_key>.csv,12,variant_key,text,false,Active node set plus a supported campaign condition. all_campaigns means a common tree; no blank Changeling variant exists.
factions/<race_slug>/<faction_key>.csv,13,variant_status,text,false,Active generic or faction-override tree; source_exports/node_set_precedence.json documents each replacement.
factions/<race_slug>/<faction_key>.csv,14,applicability_basis,text,false,Explicit source selector rule and evidence limitation.
factions/<race_slug>/<faction_key>.csv,15,campaign_key,text,false,"Variant campaign condition; blank is unspecified, not all campaign-specific overlays combined."
factions/<race_slug>/<faction_key>.csv,16,node_set_key,text,false,Source technology_node_sets_tables.key. 
factions/<race_slug>/<faction_key>.csv,17,set_faction_key,text,false,Source technology_node_sets_tables.faction_key. 
factions/<race_slug>/<faction_key>.csv,18,set_culture_key,text,false,Source technology_node_sets_tables.culture. 
factions/<race_slug>/<faction_key>.csv,19,set_subculture_key,text,false,Source technology_node_sets_tables.subculture. 
factions/<race_slug>/<faction_key>.csv,20,set_campaign_key,text,false,Source technology_node_sets_tables.campaign_key. 
factions/<race_slug>/<faction_key>.csv,21,node_key,text,false,Source technology_nodes_tables.key. 
factions/<race_slug>/<faction_key>.csv,22,node_faction_key,text,false,Source technology_nodes_tables.faction_key. 
factions/<race_slug>/<faction_key>.csv,23,node_campaign_key,text,false,Source technology_nodes_tables.campaign_key. 
factions/<race_slug>/<faction_key>.csv,24,technology_key,text,false,Source technology_nodes_tables.technology_key. 
factions/<race_slug>/<faction_key>.csv,25,technology_name,text,false,technology name
factions/<race_slug>/<faction_key>.csv,26,technology_short_description,text,false,technology short description
factions/<race_slug>/<faction_key>.csv,27,technology_long_description,text,false,technology long description
factions/<race_slug>/<faction_key>.csv,28,effect_key,text,false,Source technology_effects_junction_tables.effect. 
factions/<race_slug>/<faction_key>.csv,29,effect_scope,text,false,Source technology_effects_junction_tables.effect_scope. 
factions/<race_slug>/<faction_key>.csv,30,effect_value,number,false,Source technology_effects_junction_tables.value. 
factions/<race_slug>/<faction_key>.csv,31,effect_description,text,false,effect description
factions/<race_slug>/<faction_key>.csv,32,effect_additional_tooltip,text,false,effect additional tooltip
factions/<race_slug>/<faction_key>.csv,33,node_set_name,text,false,node set name
factions/<race_slug>/<faction_key>.csv,34,node_set_tooltip,text,false,node set tooltip
factions/<race_slug>/<faction_key>.csv,35,ui_group_name,text,false,ui group name
factions/<race_slug>/<faction_key>.csv,36,ui_group_description,text,false,ui group description
factions/<race_slug>/<faction_key>.csv,37,ui_tab_name,text,false,ui tab name
factions/<race_slug>/<faction_key>.csv,38,ui_tab_tooltip,text,false,ui tab tooltip
factions/<race_slug>/<faction_key>.csv,39,lock_reason,text,false,lock reason
factions/<race_slug>/<faction_key>.csv,40,ancillary_granted_text,text,false,ancillary granted text
factions/<race_slug>/<faction_key>.csv,41,required_technology_key,text,false,Source technology_required_technology_junctions_tables.required_technology. 
