game,patch,steam_build_id,faction_key,faction_name,race,race_slug,culture_key,subculture_key,feature_forest_key,relative_path,node_set_variants,node_occurrences,unique_technologies,dependency_links,effects,locks_exclusions,direct_unlocks,total_rows,tree_structure_sha256,file_sha256,file_bytes
warhammer_3,8.1.1,24237342,wh2_dlc09_skv_clan_rictus,Clan Rictus,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,LOCKED_STANDARD,factions/skaven/wh2_dlc09_skv_clan_rictus.csv,1,52,52,53,103,0,0,272,cc74cf36ad579ef7a761381fc10b1cccf93dad0dc6bc27fffed7059e1b453983,3d4b46d4be7d34c57dd71c7bd8c954f47a882796fa703a476a7235461503f7e9,234237
warhammer_3,8.1.1,24237342,wh2_dlc09_tmb_exiles_of_nehek,Exiles of Nehek,Tomb Kings,tomb_kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,LOCKED_STANDARD,factions/tomb_kings/wh2_dlc09_tmb_exiles_of_nehek.csv,1,74,74,72,179,0,13,594,1926954e6801872bddd5efd685cf536b99f98399ce984e957e858b2be34be563,897c1335b47df1c86ae132b7b446b570573b61e2c54ea6167644e9c371e20a85,564490
warhammer_3,8.1.1,24237342,wh2_dlc09_tmb_followers_of_nagash,Followers of Nagash,Tomb Kings,tomb_kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,LOCKED_STANDARD,factions/tomb_kings/wh2_dlc09_tmb_followers_of_nagash.csv,1,74,74,72,179,0,13,594,1926954e6801872bddd5efd685cf536b99f98399ce984e957e858b2be34be563,870c5f308994db9bd9417e195056a2f8af749893e9ffacdaa3f416a5c5c53177,569246
warhammer_3,8.1.1,24237342,wh2_dlc09_tmb_khemri,Khemri,Tomb Kings,tomb_kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,LOCKED_STANDARD,factions/tomb_kings/wh2_dlc09_tmb_khemri.csv,1,74,74,72,179,0,13,594,1926954e6801872bddd5efd685cf536b99f98399ce984e957e858b2be34be563,db7421f8671ab84d76d4db6adda41166217be9b840d14b3ac5f9efb927cf2bd0,553789
warhammer_3,8.1.1,24237342,wh2_dlc09_tmb_lybaras,Court of Lybaras,Tomb Kings,tomb_kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,LOCKED_STANDARD,factions/tomb_kings/wh2_dlc09_tmb_lybaras.csv,1,74,74,72,179,0,13,594,1926954e6801872bddd5efd685cf536b99f98399ce984e957e858b2be34be563,e0b3df509c9a49991ce78900bd879244972ee59b9e267e994396437d45d2d194,560324
warhammer_3,8.1.1,24237342,wh2_dlc11_cst_noctilus,The Dreadfleet,Vampire Coast,vampire_coast,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,LOCKED_STANDARD,factions/vampire_coast/wh2_dlc11_cst_noctilus.csv,1,48,48,44,45,0,13,233,b6a4a08ba077b36c507d546badd8ccbc7d9065211349411159c75a00fa88861e,f0b5af03b5d75d1599d9adad5ac7b13935b801541f9f62055e90911bb9494b59,218353
warhammer_3,8.1.1,24237342,wh2_dlc11_cst_pirates_of_sartosa,Pirates of Sartosa,Vampire Coast,vampire_coast,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,LOCKED_STANDARD,factions/vampire_coast/wh2_dlc11_cst_pirates_of_sartosa.csv,1,48,48,44,45,0,13,233,b6a4a08ba077b36c507d546badd8ccbc7d9065211349411159c75a00fa88861e,693fcd7c6aad1ef48821e374964cec7013cc0c7b88a71f5ab5f6efc088a9a4a7,221625
warhammer_3,8.1.1,24237342,wh2_dlc11_cst_the_drowned,The Drowned,Vampire Coast,vampire_coast,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,LOCKED_STANDARD,factions/vampire_coast/wh2_dlc11_cst_the_drowned.csv,1,48,48,44,45,0,13,233,b6a4a08ba077b36c507d546badd8ccbc7d9065211349411159c75a00fa88861e,9e1dd55486ce5692bd9599c434ef28fc4f036c69d2533ef271bd80a5694c7e75,218356
warhammer_3,8.1.1,24237342,wh2_dlc11_cst_vampire_coast,The Awakened,Vampire Coast,vampire_coast,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,LOCKED_STANDARD,factions/vampire_coast/wh2_dlc11_cst_vampire_coast.csv,1,48,48,44,45,0,13,233,b6a4a08ba077b36c507d546badd8ccbc7d9065211349411159c75a00fa88861e,7ab0f81705b0821c6f58a87324f16eed9901112ac4deac327a28d52b17285c86,219057
warhammer_3,8.1.1,24237342,wh2_dlc11_def_the_blessed_dread,The Blessed Dread,Dark Elves,dark_elves,wh2_main_def_dark_elves,wh2_main_sc_def_dark_elves,MIXED_NAVAL_HORDE,factions/dark_elves/wh2_dlc11_def_the_blessed_dread.csv,1,52,52,57,96,0,0,264,7996ee69433602084b0a475e46f25fda2e4ea59220a6e9f57741a3d01b9a967a,253b49498aea14acce513824ca54a877e3ba70f6f00ab18cc59f083240816ec2,241139
